Order_ID,Area,City,Region_Name,Restaurant_Name,Price_Category,Price,Popularity_Index,Popularity,Avg ratings,Total ratings,Rating_Category,Demand_Category,Food type,Cuisine_Count,Address,Delivery_Time_Mins,Delivery_Category
4252,Chandrapuri Colony,Hyderabad,Hyderabad - Chandrapuri Colony,Hotel Sitara Grand - Dhanturi Group Of Hotels,Medium,300,14.29,Very High,3.8,1000,Average,Normal,"Biryani,Chinese,South Indian,North Indian,Tandoor",5,L B Nagar,70,Slow
4256,Kothapet,Hyderabad,Hyderabad - Kothapet,Nakshatra Inn Multi Cuisine Restaurant,Medium,300,1.92,Moderate,3.8,100,Average,Normal,"Biryani,Chinese,North Indian,South Indian",4,Lakshmi Nagar Colony,52,Standard
4320,Narayanguda,Hyderabad,Hyderabad - Narayanguda,Mehfil,Medium,300,400,Very High,3.9,10000,Average,Normal,"Biryani,Tandoor,Chinese,Indian,Kebabs,Desserts",6,Narayanguda,25,Fast
4338,Fc Road,Pune,Pune - Fc Road,The Burger Barn Cafe,Medium,300,2.17,High,4.1,100,Good,Normal,"American,Fast Food",2,Ghole Road,46,Standard
4429,Park Street Area,Kolkata,Kolkata - Park Street Area,Sip & Sandwich,Medium,300,1.33,Moderate,2.9,80,Poor,Normal,Pastas  Beverages  Fast Food,1,Park Street,60,Standard
4430,Beniapukur,Kolkata,Kolkata - Beniapukur,Shiraz Golden Restaurant,Medium,500,19.23,Very High,4.4,1000,Good,High Demand,"Biryani,Mughlai,North Indian,Indian,Kebabs,Tandoor",6,Park Street,52,Standard
4484,Park Street Area,Kolkata,Kolkata - Park Street Area,Mocambo,High,1500,16.13,Very High,4.4,1000,Good,High Demand,"North Indian,Biryani,Continental,Italian",4,Park Street,62,Slow
4558,Bidhannagar,Kolkata,Kolkata - Bidhannagar,The Scoop,Medium,400,1.43,Moderate,4.1,100,Good,Normal,"North Indian,Chinese,South Indian,Fast Food",4,Sector 1,70,Slow
4565,Bidhannagar,Kolkata,Kolkata - Bidhannagar,Kaafila,High,1600,0.7,Low,3.9,50,Average,Normal,"Mughlai,North Indian",2,Sector 1,71,Slow
4587,Bidhannagar,Kolkata,Kolkata - Bidhannagar,Ranjan'S,Medium,200,1.79,Moderate,4.2,100,Good,Normal,"North Indian,Chinese",2,Sector 3,56,Standard
4599,Bidhannagar,Kolkata,Kolkata - Bidhannagar,Balle Balle Dhaba,Medium,500,16.95,Very High,4.1,1000,Good,High Demand,"North Indian,Punjabi,Biryani",3,Sector 1,59,Standard
4600,Bidhannagar,Kolkata,Kolkata - Bidhannagar,Le Coffee Creme,High,600,0.74,Low,3.9,50,Average,Normal,"Combo,Chinese,Continental,Italian,Fast Food,Mexican",6,Sector 1,68,Slow
4614,Himayatnagar,Hyderabad,Hyderabad - Himayatnagar,Crystal Restaurant,Medium,350,29.41,Very High,3.9,1000,Average,Normal,"Biryani,North Indian,Chinese",3,Rtc X Roads,34,Standard
4650,New Nallakunta,Hyderabad,Hyderabad - New Nallakunta,Bawarchi,Medium,300,370.37,Very High,3.9,10000,Average,Normal,"Biryani,Tandoor,Chinese,Indian,Desserts,Kebabs,Mughlai",7,Rtc X Roads,27,Fast
4739,Sivanchetti Gardens,Bangalore,Bangalore - Sivanchetti Gardens,The Grill House - Steaks & Sizzlers,High,1100,1.92,Moderate,4.2,100,Good,Normal,"American,Steakhouse,Italian,Mexican,Continental,Mediterranean,Desserts,Grill,Salads,Pastas,Pizzas,Lebanese",12,Kensington Point,52,Standard
4774,Adikmet,Hyderabad,Hyderabad - Adikmet,Us Pizza,Medium,200,0.42,Low,3.2,20,Average,Normal,"Italian,Pizzas,Fast Food,Beverages,Desserts",5,O.U Road,48,Standard
4776,Amberpet,Hyderabad,Hyderabad - Amberpet,Surabhi Grand,Medium,300,11.11,Very High,4,500,Good,Normal,"Mughlai,North Indian,Chinese,Seafood",4,Tilaknagar,45,Standard
4781,Himayatnagar,Hyderabad,Hyderabad - Himayatnagar,Bluedragon By Mandilicious,Medium,300,0.59,Low,4.2,20,Good,Normal,Chinese,1,Himayathnagar,34,Standard
4783,Adikmet,Hyderabad,Hyderabad - Adikmet,Frosty Den,Medium,200,0.47,Low,2.2,20,Poor,Normal,"Ice Cream,Pizzas,Fast Food,Beverages,Desserts",5,O.U Road,43,Standard
4810,Banjara Hills,Hyderabad,Hyderabad - Banjara Hills,Sitara Grand - Nizami Pakwaan,Medium,300,1.61,Moderate,3.6,100,Average,Normal,"Biryani,Chinese,South Indian,North Indian,Tandoor",5,Road No 12,62,Slow
4841,Karve Nagar,Pune,Pune - Karve Nagar,Cheesiano Pizza,Medium,500,1.92,Moderate,3.9,100,Average,Normal,"Italian,Pizzas,Fast Food",3,Karvenagar,52,Standard
4853,Domlur,Bangalore,Bangalore - Domlur,Venus Biryani,Medium,200,10.2,Very High,4.1,500,Good,Normal,Biryani,1,3Rd Cross,49,Standard
4956,Andheri East,Mumbai,Mumbai - Andheri East,Rj Spice,Medium,450,0.36,Low,4.1,20,Good,Normal,Chinese  Thai  Fast Food,1,Jb Nagar  Andheri East,55,Standard
5107,Agarkar Nagar,Pune,Pune - Agarkar Nagar,Blue Nile,High,1000,32.26,Very High,4.2,1000,Good,High Demand,"Biryani,Mughlai,Tandoor,Chinese,Desserts,Ice Cream,Beverages",7,Bund Garden Road,31,Standard
5119,Koregaon Park,Pune,Pune - Koregaon Park,Arthur'S Theme,High,800,1.79,Moderate,4.3,100,Good,Normal,"Italian,European",2,Lane No 6 Opp Cosmos Bank Kp,56,Standard
5120,Mundhwa,Pune,Pune - Mundhwa,Carnival Restaurant & Bar,High,1000,1.56,Moderate,4.2,100,Good,Normal,"North Indian,Chinese,Seafood,Continental",4,Mundhwa Road Kp,64,Slow
5139,Shivajinagar,Pune,Pune - Shivajinagar,Smokin' Joe'S,Medium,400,1.43,Moderate,4,50,Good,Normal,"American,Fast Food",2,Jm Road,35,Standard
5150,Mohammed Wadi,Pune,Pune - Mohammed Wadi,Chai - The Way You Like It,Medium,250,0.68,Low,4,50,Good,Normal,Fast Food,1,Salunkhe Vihar Road,73,Slow
5157,Shivajinagar,Pune,Pune - Shivajinagar,Mainland China,High,850,1.89,Moderate,4.4,100,Good,Normal,"Chinese,Oriental,Thai,Pan-Asian,Seafood,Asian,Desserts",7,Pyramid Mall,53,Standard
5172,Bandra Area,Mumbai,Mumbai - Bandra Area,Theobroma,High,800,12.5,Very High,4.7,500,Excellent,Normal,"Desserts,Bakery,Beverages",3,Bandra Area,40,Standard
5208,Paschim Vihar,Delhi,Delhi - Paschim Vihar,Deli 63,Medium,400,1.33,Moderate,2.9,80,Poor,Normal,"Street Food,Fast Food",2,Punjabi Bagh,60,Standard
5221,Malleshwaram,Bangalore,Bangalore - Malleshwaram,Food Paradise,Medium,326,1.89,Moderate,3.9,100,Average,Normal,"Mughlai,North Indian,Chinese,Fast Food",4,Malleshwaram,53,Standard
5247,Ashok Nagar,Bangalore,Bangalore - Ashok Nagar,Corner House Ice Cream,Medium,250,32.26,Very High,4.7,1000,Excellent,High Demand,"Ice Cream,Desserts",2,Residency Road,31,Standard
5251,Kalighat,Kolkata,Kolkata - Kalighat,Bachan'S Dhaba,Medium,250,81.97,Very High,4.3,5000,Good,High Demand,"North Indian,Chinese",2,Near Kalighat Metro Rash Behari Avenue,61,Slow
5255,Ballygunge,Kolkata,Kolkata - Ballygunge,Mainland China,High,850,1.56,Moderate,4.5,100,Excellent,Normal,"Chinese,Oriental,Thai,Pan-Asian,Seafood,Asian,Desserts",7,Ballygunge,64,Slow
5285,Lakdikapul,Hyderabad,Hyderabad - Lakdikapul,Chicha'S,Medium,200,12.5,Very High,3.8,500,Average,Normal,"Biryani,Hyderabadi,Indian,Street Food",4,P & T Officers Colony,40,Standard
5297,Deccan Gymkhana,Pune,Pune - Deccan Gymkhana,Le Plaisir,High,1000,12.5,Very High,4.5,500,Excellent,Normal,"Italian,Continental,European,Desserts",4,Prabhat Road Deccan,40,Standard
5370,Deccan Gymkhana,Pune,Pune - Deccan Gymkhana,Cafe Goodluck,Medium,200,2.86,High,4.4,100,Good,Normal,"North Indian,Fast Food,Biryani,Cafe,Snacks,Beverages,Bakery",7,Shivajinagar,35,Standard
5408,Camp,Pune,Pune - Camp,George Restaurant,High,600,30.3,Very High,4.3,1000,Good,High Demand,"North Indian,Chinese,Biryani,Mughlai,Parsi,Fast Food",6,East Street,33,Standard
5496,Camp,Pune,Pune - Camp,Marzorin,Medium,200,30.3,Very High,4.4,1000,Good,High Demand,"Fast Food,Bakery,Beverages,Snacks,Desserts",5,Mg Road,33,Standard
5504,Antop Hill,Mumbai,Mumbai - Antop Hill,Monica Chinese Fast Food,Medium,350,0.88,Low,3.9,50,Average,Normal,Chinese,1,Antop Hill,57,Standard
